"Adam Gregg","Q76363476","2019 United Kingdom general election","Barnsley East","Conservative Party"
"Andrew Lloyd",,,,
"Billy Marsden",,,,
"Colin Porter",,,,
"David Willis",,,,
"Eddie Devoy",,,,
"Geoffrey Griffiths",,,,
"George England",,,,
"James Dalton",,,,
"James Hockney",,,,
"Jim Ferguson","Q76729329","2019 United Kingdom general election","Barnsley East","Brexit Party"
"John M. Procter",,,,
"Julie Hyland",,,,
"Katharine Harborne",,,,
"Ken Capstick",,,,
"Kevin Hogan",,,,
"Kevin Riddiough",,,,
"Nicola Turner",,,,
"Peter Tomlinson",,,,
"Ralph Dyson",,,,
"Richard Trotman",,,,
"Robert Swiffen",,,,
"Ruth Coleman-Taylor","Q63929088","2019 United Kingdom general election","Wolverhampton South East","Liberal Democrats"
"Sophie Thornton","Q63929126","2019 United Kingdom general election","Barnsley East","Liberal Democrats"
"Sylvia Anginotti",,,,
"Tony Devoy",,,,
"Tony Watson",,,,
